Rank,GPA,People,Top%
1,4.30,252,0.0%
253,4.29,20,84.0%
273,4.28,7,90.7%
280,4.27,1,93.0%
281,2.31,1,93.3%
282,2.30,4,93.7%
286,2.29,1,95.0%
287,2.28,1,95.3%
288,2.26,1,95.7%
289,2.25,1,96.0%
290,2.21,2,96.3%
292,2.20,4,97.0%
296,2.19,1,98.3%
297,2.16,1,98.7%
298,2.08,1,99.0%
299,2.07,2,99.3%
